Date,Open,High,Low,Close,Adj Close,Volume
2019-10-08,36.400002,37.270000,35.740002,36.619999,33.266605,2670500
2019-10-09,37.270000,37.270000,36.250000,36.400002,33.066757,1902700
2019-10-10,36.880001,37.080002,36.209999,36.740002,33.375622,1348200
2019-10-11,37.459999,38.869999,37.299999,38.349998,34.838184,1176100
2019-10-14,37.570000,38.169998,36.689999,37.849998,34.383972,1038900
2019-10-15,37.580002,38.770000,37.410000,37.650002,34.202290,1623400
2019-10-16,37.630001,38.250000,37.520000,37.689999,34.238625,1910900
2019-10-17,37.910000,38.110001,36.580002,36.650002,33.293858,1836500
2019-10-18,36.730000,37.330002,36.349998,36.560001,33.212105,1474500
2019-10-21,36.570000,38.680000,36.470001,38.430000,34.910862,1235100
2019-10-22,38.680000,39.560001,37.849998,39.160000,35.574013,1182200
2019-10-23,38.910000,39.950001,38.200001,39.220001,35.628521,1256800
2019-10-24,39.320000,39.470001,38.299999,39.330002,35.728447,1238100
2019-10-25,39.410000,40.279999,39.230000,40.250000,36.564198,1428900
2019-10-28,40.560001,40.779999,39.380001,39.639999,36.010059,1496700
2019-10-29,39.259998,39.959999,39.000000,39.820000,36.173576,1578100
2019-10-30,40.009998,40.369999,37.869999,38.099998,34.611080,1714000
2019-10-31,37.950001,38.230000,37.029999,37.500000,34.066017,1795600
2019-11-01,37.980000,40.310001,37.790001,40.180000,36.500607,1363000
2019-11-04,41.000000,42.000000,40.779999,41.880001,38.044937,1814500
2019-11-05,42.040001,42.160000,41.049999,41.490002,37.690651,1784300
2019-11-06,41.380001,41.970001,40.250000,40.500000,36.791309,1971000
2019-11-07,40.610001,41.150002,40.320000,40.790001,37.715942,1471600
2019-11-08,40.230000,40.880001,39.880001,40.750000,38.346420,1648900
2019-11-11,39.849998,41.279999,39.759998,41.180000,38.751060,1035300
2019-11-12,41.279999,41.349998,39.939999,40.189999,37.819454,1595300
2019-11-13,39.750000,39.950001,39.070000,39.220001,36.906670,1253900
2019-11-14,39.389999,40.020000,39.290001,39.320000,37.000771,1623600
